,time,video_jump,response_speed,response_type,quest_threshold,quest_sd
0,0,0.5,0,correct rejection,0.5,0.49999645886775834
1,0,1.0,-66.13198529998772,missed,0.8284713388870533,0.3918952216917611
2,0,1.0,-66.13198529998772,correct rejection,0.8284713388870533,0.3918952216917611
3,0,-1.0,-67.32111859996803,missed,0.8284713388870533,0.3918952216917611
4,0,-1.0,-67.32111859996803,correct rejection,0.8284713388870533,0.3918952216917611
5,0,-0.8585125026408056,-67.95362029992975,missed,1.0829760160783524,0.3229166490407247
6,0,-0.8585125026408056,-67.95362029992975,correct rejection,1.0829760160783524,0.3229166490407247
7,0,0.8585125026408056,-69.12723709992133,missed,1.0829760160783524,0.3229166490407247
8,0,1.0,-71.64101699995808,missed,1.2423334709804317,0.2685121027651435
9,0,1.0,-71.64101699995808,correct rejection,1.2423334709804317,0.2685121027651435
10,0,1.0,-71.64101699995808,correct rejection,1.2423334709804317,0.2685121027651435
11,0,1.0,-71.64101699995808,correct rejection,1.2423334709804317,0.2685121027651435
12,0,1.0,-73.58792149997316,missed,1.3124768753222413,0.2431166740053778
13,0,-1.0,-75.51408989995252,missed,1.2423334709804317,0.2685121027651435
14,0,-1.0,-75.51408989995252,correct rejection,1.2423334709804317,0.2685121027651435
15,0,-1.0,-75.75637719989754,missed,1.3124768753222413,0.2431166740053778
16,0,-1.0,-75.75637719989754,correct rejection,1.3124768753222413,0.2431166740053778
17,0,-1.0,-76.71206069993787,missed,1.351064741007436,0.23449804561728632
18,0,-1.0,-76.71206069993787,correct rejection,1.351064741007436,0.23449804561728632
19,0,-1.0,-76.71206069993787,correct rejection,1.351064741007436,0.23449804561728632
20,0,-1.0,-78.5269413999049,missed,1.3779896621782424,0.2302502452531039
21,0,-1.0,-78.70936819992494,missed,1.3990253947255313,0.22735192471350638
22,0,-1.0,-78.70936819992494,correct rejection,1.3990253947255313,0.22735192471350638
23,0,-1.0,-79.10219029989094,missed,1.4163896730652228,0.22509036127712267
24,0,-1.0,-79.10219029989094,correct rejection,1.4163896730652228,0.22509036127712267
25,0,-1.0,-79.41056869993918,missed,1.431203199150185,0.22322392844842973
26,0,1.0,-79.45957769989036,missed,1.351064741007436,0.23449804561728632
27,0,1.0,-79.45957769989036,correct rejection,1.351064741007436,0.23449804561728632
28,0,1.0,-79.45957769989036,correct rejection,1.351064741007436,0.23449804561728632
29,0,1.0,-79.45957769989036,correct rejection,1.351064741007436,0.23449804561728632
30,0,-1.0,-81.30054909992032,missed,1.444130792815129,0.22163454213768427
31,0,-1.0,-81.48079809988849,missed,1.4556043207838127,0.2202517270505924
32,0,-1.0,-83.1329407999292,missed,1.4659214135963632,0.21902910311530852
33,0,1.0,-84.02384589996655,missed,1.3779896621782424,0.2302502452531039
34,0,1.0,-84.02384589996655,correct rejection,1.3779896621782424,0.2302502452531039
35,0,-1.0,-86.07578909990843,missed,1.475296252787005,0.21793433754113928
36,0,-1.0,-87.60378159990069,missed,1.4838882492635694,0.21694395496649962
37,0,1.0,-88.25831889989786,missed,1.3990253947255313,0.22735192471350638
38,0,1.0,-88.25831889989786,correct rejection,1.3990253947255313,0.22735192471350638
39,0,-1.0,-88.83372549992055,missed,1.4918193226579373,0.21604036585458322
40,0,-1.0,-88.83372549992055,correct rejection,1.4918193226579373,0.21604036585458322
41,0,-1.0,-88.83372549992055,correct rejection,1.4918193226579373,0.21604036585458322
42,0,-1.0,-88.83372549992055,correct rejection,1.4918193226579373,0.21604036585458322
43,0,-1.0,-88.83372549992055,correct rejection,1.4918193226579373,0.21604036585458322
44,0,-1.0,-89.47220609989017,missed,1.499184842239928,0.21521005048903627
45,0,-1.0,-89.47220609989017,correct rejection,1.499184842239928,0.21521005048903627
46,0,1.0,-89.7678582998924,missed,1.4163896730652228,0.22509036127712267
47,0,1.0,-89.7678582998924,correct rejection,1.4163896730652228,0.22509036127712267
48,0,1.0,-90.67490089999046,missed,1.431203199150185,0.22322392844842973
49,0,1.0,-90.67490089999046,correct rejection,1.431203199150185,0.22322392844842973
50,0,-1.0,-91.3858025999507,missed,1.5060608373315332,0.21444239481199995
51,0,-1.0,-91.3858025999507,correct rejection,1.5060608373315332,0.21444239481199995
52,0,1.0,-91.92233239999041,missed,1.444130792815129,0.22163454213768427
53,0,1.0,-91.92233239999041,correct rejection,1.444130792815129,0.22163454213768427
54,0,1.0,-93.4560979999369,missed,1.4556043207838127,0.2202517270505924
55,0,1.0,-93.4560979999369,correct rejection,1.4556043207838127,0.2202517270505924
56,0,1.0,-93.4560979999369,correct rejection,1.4556043207838127,0.2202517270505924
57,0,-1.0,-96.74759549996816,missed,1.5125089098413182,0.21372891516508816
58,0,-1.0,-97.28629269998055,missed,1.5185796768315987,0.21306272546986654
59,0,-1.0,-97.59053179994226,missed,1.5243152420892676,0.21243816110977262
60,0,-1.0,-97.59053179994226,correct rejection,1.5243152420892676,0.21243816110977262
61,0,-1.0,-97.59053179994226,correct rejection,1.5243152420892676,0.21243816110977262
62,0,-1.0,-97.59053179994226,correct rejection,1.5243152420892676,0.21243816110977262
63,0,1.0,-98.83304379996844,missed,1.4659214135963632,0.21902910311530852
64,0,1.0,-100.70873409998603,missed,1.475296252787005,0.21793433754113928
65,0,1.0,-101.35105289996136,missed,1.4838882492635694,0.21694395496649962
66,0,-1.0,-102.62653839995619,missed,1.5297510083332142,0.2118505072457136
67,0,-1.0,-103.00544919993263,missed,1.5349170307644353,0.21129579859154596
68,0,-1.0,-103.00544919993263,correct rejection,1.5349170307644353,0.21129579859154596
