,time,video_jump,response_speed,response_type,quest_threshold,quest_sd
0,0,0.5,0,correct rejection,0.5,0.49999645886775834
1,0,0.5,0,correct rejection,0.5,0.49999645886775834
2,0,0.5,0,correct rejection,0.5,0.49999645886775834
3,0,0.5,-8.545238299993798,missed,0.8284713388870533,0.3918952216917611
4,0,0.5,-8.545238299993798,correct rejection,0.8284713388870533,0.3918952216917611
5,0,-0.5,-9.230417800019495,missed,0.8284713388870533,0.3918952216917611
6,0,-0.8585125026408056,-9.560319000040181,missed,1.0829760160783524,0.3229166490407247
7,0,-0.8585125026408056,-9.560319000040181,correct rejection,1.0829760160783524,0.3229166490407247
8,0,0.8585125026408056,-10.229971499997191,missed,1.0829760160783524,0.3229166490407247
9,0,0.8585125026408056,-10.229971499997191,correct rejection,1.0829760160783524,0.3229166490407247
10,0,0.8585125026408056,-10.229971499997191,correct rejection,1.0829760160783524,0.3229166490407247
11,0,-1.0,-11.463990700081922,missed,1.2423334709804317,0.2685121027651435
12,0,-1.0,-11.463990700081922,correct rejection,1.2423334709804317,0.2685121027651435
13,0,1.0,-12.33137460006401,missed,1.2423334709804317,0.2685121027651435
14,0,1.0,-12.33137460006401,correct rejection,1.2423334709804317,0.2685121027651435
15,0,-1.0,-13.248926700092852,missed,1.3124768753222413,0.2431166740053778
16,0,-1.0,-13.248926700092852,correct rejection,1.3124768753222413,0.2431166740053778
17,0,-1.0,-13.248926700092852,correct rejection,1.3124768753222413,0.2431166740053778
18,0,-1.0,-14.467382900067605,missed,1.351064741007436,0.23449804561728632
19,0,-1.0,-14.467382900067605,correct rejection,1.351064741007436,0.23449804561728632
20,0,-1.0,-14.467382900067605,correct rejection,1.351064741007436,0.23449804561728632
21,0,-1.0,-14.467382900067605,correct rejection,1.351064741007436,0.23449804561728632
22,0,-1.0,-14.467382900067605,correct rejection,1.351064741007436,0.23449804561728632
23,0,-1.0,-16.434674400021322,missed,1.3779896621782424,0.2302502452531039
24,0,-1.0,-16.434674400021322,correct rejection,1.3779896621782424,0.2302502452531039
25,0,1.0,-17.435569900088012,missed,1.3124768753222413,0.2431166740053778
26,0,-1.0,-17.993808400002308,missed,1.3990253947255313,0.22735192471350638
27,0,-1.0,-17.993808400002308,correct rejection,1.3990253947255313,0.22735192471350638
28,0,-1.0,-17.993808400002308,correct rejection,1.3990253947255313,0.22735192471350638
29,0,1.0,-19.404265000019222,missed,1.351064741007436,0.23449804561728632
30,0,1.0,-19.905934200040065,missed,1.3779896621782424,0.2302502452531039
31,0,1.0,-20.444854700006545,missed,1.3990253947255313,0.22735192471350638
32,0,1.0,-20.9570358999772,missed,1.4163896730652228,0.22509036127712267
33,0,1.0,-21.663472500047646,missed,1.431203199150185,0.22322392844842973
34,0,1.0,-22.39784370001871,missed,1.444130792815129,0.22163454213768427
35,0,-1.0,-23.3740730000427,missed,1.4163896730652228,0.22509036127712267
36,0,-1.0,-23.3740730000427,correct rejection,1.4163896730652228,0.22509036127712267
37,0,-1.0,-23.3740730000427,correct rejection,1.4163896730652228,0.22509036127712267
38,0,1.0,-25.442751600057818,missed,1.4556043207838127,0.2202517270505924
