,event_type,onset,duration,trial_jump
0,condition_start,6.548685600049794,,
1,blink,7.344034900073893,0.1517126999096945,
2,blink,7.6626534999813884,0.13176300004124641,
3,blink,7.944097000057809,0.13379240001086146,
4,blink,8.23012209997978,0.1665760000469163,
5,forward_jump,8.545184600050561,5.3699943237006664e-05,0.5
6,blink,8.545119800022803,0.19855530001223087,
7,blink,8.844939100090414,0.2002063998952508,
8,backward_jump,9.230357900029048,5.989999044686556e-05,-0.5
9,blink,9.230274899979122,0.26495820004493,
10,backward_jump,9.560276900068857,4.20999713242054e-05,-0.8585125026408056
11,blink,9.560228200047277,0.2897944999858737,
12,blink,9.917313800076954,0.1456643999554217,
13,forward_jump,10.22990330005996,6.81999372318387e-05,0.8585125026408056
14,blink,10.22982280002907,0.37274350004736334,
15,blink,10.759111599996686,0.15595450007822365,
16,blink,11.096921400050633,0.18357959995046258,
17,backward_jump,11.463947399985045,4.330009687691927e-05,-1.0
18,blink,11.463884900091216,0.3595904998946935,
19,blink,11.998300999985076,0.1662861000513658,
20,forward_jump,12.331327500054613,4.710000939667225e-05,1.0
21,blink,12.331268000067212,0.4596997000044212,
22,blink,12.937070499989204,0.12806200003251433,
23,backward_jump,13.24887920008041,4.75000124424696e-05,-1.0
24,blink,13.24881500005722,0.3652602999936789,
25,blink,13.770612700027414,0.17860169999767095,
26,blink,14.132866800064221,0.15049719996750355,
27,backward_jump,14.467332700034603,5.0200033001601696e-05,-1.0
28,blink,14.467267400003038,0.38227469997946173,
29,blink,15.019908100017346,0.14833490003366023,
30,blink,15.351972699980251,0.18210520001593977,
31,blink,15.701038900064304,0.19978259992785752,
32,blink,16.068432400003076,0.18259730003774166,
33,backward_jump,16.4346121000126,6.230000872164965e-05,-1.0
34,blink,16.434533199993894,0.38184110005386174,
35,blink,17.03609970002435,0.19942570000421256,
36,forward_jump,17.435528000001796,4.190008621662855e-05,1.0
37,blink,17.435467800009064,0.3936809999868274,
38,backward_jump,17.993725300068036,8.309993427246809e-05,-1.0
39,blink,17.993639899999835,0.39746650005690753,
40,blink,18.581294000032358,0.22369500005152076,
41,blink,19.003732800018042,0.18355249997694045,
42,forward_jump,19.404200699995272,6.430002395063639e-05,1.0
43,blink,19.404120900086127,0.39075159991625696,
44,forward_jump,19.905887400032952,4.680000711232424e-05,1.0
45,blink,19.905827500042506,0.40685889997985214,
46,forward_jump,20.44477469997946,8.000002708286047e-05,1.0
47,blink,20.444681100081652,0.3195375999202952,
48,forward_jump,20.95693810004741,9.77999297901988e-05,1.0
49,blink,20.956837499979883,0.4957527000224218,
50,forward_jump,21.66336730006151,0.00010519998613744974,1.0
51,blink,21.663249399978667,0.5450111000100151,
52,forward_jump,22.397795400000177,4.830001853406429e-05,1.0
53,blink,22.397735700011253,0.5057907999726012,
54,backward_jump,23.374003200093284,6.97999494150281e-05,-1.0
55,blink,23.373913899995387,0.535096500068903,
56,blink,24.191311500035226,0.35212509997654706,
57,blink,24.841637199977413,0.3171623001107946,
58,forward_jump,25.44270020001568,5.140004213899374e-05,1.0
59,blink,25.44264020002447,0.4276126000331715,
