,event_type,time
0,condition_start,18.750656000105664
1,occlusion_start,18.756825800053775
2,occlusion_end,19.057099499972537
3,blink_start,18.751380800036713
4,blink_end,20.40278479992412
5,occlusion_start,25.543091899948195
6,occlusion_end,25.84534820006229
7,blink_start,25.534183900104836
8,blink_end,25.89814170007594
9,occlusion_start,27.82395560014993
10,occlusion_end,28.125773299951106
11,blink_start,27.816653599962592
12,blink_end,28.16281779995188
13,occlusion_start,29.47155459993519
14,occlusion_end,29.77272200002335
15,blink_start,29.464524399954826
16,blink_end,29.812960100127384
17,occlusion_start,30.89040210004896
18,occlusion_end,31.192358100088313
19,blink_start,30.882270799949765
20,blink_end,31.244551399955526
21,occlusion_start,33.12110830005258
22,occlusion_end,33.422723500058055
23,blink_start,33.11416899994947
24,blink_end,33.47811289993115
25,occlusion_start,36.03765340009704
26,occlusion_end,36.3384213000536
27,blink_start,36.03003480006009
28,blink_end,36.39231669995934
29,occlusion_start,37.835238500032574
30,occlusion_end,38.13707910012454
31,blink_start,37.82777309999801
32,blink_end,38.17480519996025
33,occlusion_start,39.57026439998299
34,occlusion_end,39.872399900108576
35,blink_start,39.56297249998897
36,blink_end,39.90757180005312
37,occlusion_start,41.43567209993489
38,occlusion_end,41.73627270013094
39,blink_start,41.42611790006049
40,blink_end,41.77360279997811
