,event_type,time
0,condition_start,57.60038770013489
1,occluder_start,57.80468560010195
2,occluder_end,58.127827499993145
3,occluder_start,64.7706715001259
4,occluder_end,65.15690260007977
5,occluder_start,67.04190000006929
6,occluder_end,67.43127160007134
7,occluder_start,68.68507639993913
8,occluder_end,69.00912300008349
9,occluder_start,70.12066349992529
10,occluder_end,70.49869700009003
11,occluder_start,72.35006440011784
12,occluder_end,72.67681839992292
13,occluder_start,75.26986519992352
14,occluder_end,75.64544470002875
15,occluder_start,77.04855279996991
16,occluder_end,77.41717809997499
17,occluder_start,78.78562949993648
18,occluder_end,79.09769640001468
19,occluder_start,80.64756830013357
20,occluder_end,81.01641790010035
