,event_type,time
0,condition_start,86.68761859997176
1,occluder_start,86.71736240014434
2,occluder_end,87.63363830000162
3,occluder_start,90.50530429999344
4,occluder_end,91.33559440006502
5,occluder_start,94.92307569994591
6,occluder_end,95.47019720007665
7,occluder_start,99.91006979998201
8,occluder_end,100.22293710010126
9,occluder_start,102.87091109994799
10,occluder_end,103.4966160999611
11,occluder_start,104.0212201999966
12,occluder_end,104.05438430001959
13,occluder_start,106.18623939994723
14,occluder_end,106.81076429993846
15,occluder_start,109.23431099997833
16,occluder_end,110.14532110001892
17,occluder_start,112.57328810007311
18,occluder_end,112.9881184999831
19,occluder_start,115.29887820011936
20,occluder_end,115.88616260001436
