,event_type,time
0,condition_start,59.85665010008961
1,occluder_start,78.01150000002235
2,occluder_end,78.32709569996223
3,occluder_start,80.09009100007825
4,occluder_end,80.9363356998656
5,occluder_start,82.51637409999967
6,occluder_end,83.20822870009579
7,occluder_start,84.13121029990725
8,occluder_end,84.43896639999002
9,occluder_start,84.70685019996017
10,occluder_end,85.48080000001937
11,occluder_start,86.77165720006451
12,occluder_end,87.07838169997558
13,occluder_start,87.48132400005125
14,occluder_end,87.806934799999
15,occluder_start,88.69696979993023
16,occluder_end,89.13237540004775
17,occluder_start,90.13365920004435
18,occluder_end,90.7578151000198
19,occluder_start,91.3621302000247
20,occluder_end,91.67035480006598
