,event_type,time
0,condition_start,95.36558249988593
1,occluder_start,95.67766799987294
2,occluder_end,96.67746019992046
3,occluder_start,97.52017310005613
4,occluder_end,98.32189860008657
5,occluder_start,99.19760220008902
6,occluder_end,99.97135269991122
7,occluder_start,100.70603680005297
8,occluder_end,101.55150629999116
9,occluder_start,102.48224789998494
10,occluder_end,103.12837209994905
11,occluder_start,103.95195410004817
12,occluder_end,104.9500895999372
13,occluder_start,105.7163462000899
14,occluder_end,106.46353080007248
15,occluder_start,107.13315199990757
16,occluder_end,107.71233189990744
17,occluder_start,108.5378373998683
18,occluder_end,109.35880609997548
19,occluder_start,110.13493350008503
20,occluder_end,110.85066300001927
