,event_type,time
0,condition_start,5.758075699908659
1,occlusion_start,23.915939700091258
2,occlusion_end,24.216826800024137
3,blink_start,23.907701099989936
4,blink_end,24.40747329988517
5,occlusion_start,25.161558100022376
6,occlusion_end,25.462734499946237
7,blink_start,25.158239600015804
8,blink_end,25.975330099929124
9,occlusion_start,26.58102299994789
10,occlusion_end,26.88148280000314
11,blink_start,26.57728850003332
12,blink_end,27.260160200065002
13,occlusion_start,28.016450899885967
14,occlusion_end,28.317630500067025
15,blink_start,28.01267519989051
16,blink_end,28.761247500078753
17,occlusion_start,29.465553499991074
18,occlusion_end,29.766288300044835
19,blink_start,29.4618983999826
20,blink_end,30.228957900078967
21,occlusion_start,31.132229999871925
22,occlusion_end,31.432411399902776
23,blink_start,31.129601099994034
24,blink_end,31.830938800005242
25,occlusion_start,32.7006415000651
26,occlusion_end,33.002433700021356
27,blink_start,32.69772180006839
28,blink_end,33.36490279994905
29,occlusion_start,34.16789390007034
30,occlusion_end,34.46871929988265
31,blink_start,34.16557769989595
32,blink_end,34.57226699986495
33,occlusion_start,35.20394969987683
34,occlusion_end,35.50456269993447
35,blink_start,35.20095580001362
36,blink_end,35.81725469999947
37,occlusion_start,36.420537600060925
38,occlusion_end,36.72168190008961
39,blink_start,36.41762170009315
40,blink_end,37.20240519987419
