,event_type,onset,duration,trial_jump
0,condition_start,7.150086699984968,,
1,blink,7.8001874999608845,0.16769080003723502,
2,backward_jump,8.135084699955769,5.8999983593821526e-05,-0.5
3,blink,8.13499939988833,0.3689442001050338,
4,forward_jump,8.695468499907292,9.700004011392593e-05,0.5
5,blink,8.695358700002544,0.29938479990232736,
6,backward_jump,9.142952499911189,0.00014400004874914885,-0.8585125026408056
7,blink,9.142809899989516,0.4104018999496475,
8,blink,9.72775889991317,0.4072730999905616,
9,blink,10.45344459998887,0.20115739991888404,
10,blink,10.81975559995044,0.16687349998392165,
11,blink,11.15251049993094,0.15059370000381023,
12,backward_jump,11.469639899907634,8.730008266866207e-05,-1.0
13,blink,11.469526599976234,0.4772700999164954,
14,blink,12.143600199953653,0.15295909997075796,
15,backward_jump,12.487757699913345,0.0001007000682875514,-1.0
16,blink,12.487632699892856,0.4257952000480145,
17,blink,13.043936899979599,0.11127499991562217,
18,backward_jump,13.338601699913852,8.240004535764456e-05,-1.0
19,blink,13.338492899900302,0.4342520000645891,
20,blink,13.930116099887528,0.12598590005654842,
21,backward_jump,14.224009199999273,9.499990846961737e-05,-1.0
22,blink,14.223911899956875,0.3684709999943152,
23,blink,14.71231049997732,5.714835699996911,
24,backward_jump,20.627037999918684,6.340001709759235e-05,-1.0
25,blink,20.626962199923582,0.3242686999728903,
26,backward_jump,21.031614299979992,4.1899969801306725e-05,-1.0
27,blink,21.03155549999792,0.3421052999328822,
28,blink,21.466403599944897,0.22821850003674626,
29,blink,21.946123999892734,0.21582949999719858,
30,blink,22.395424899994396,0.18355149996932596,
31,forward_jump,22.82899039995391,3.360002301633358e-05,0.8585125026408056
32,blink,22.828936599893495,0.3523792000487447,
33,blink,23.30673009995371,0.1895607999758795,
34,blink,23.71397749998141,0.21586639992892742,
35,blink,24.11371939990204,0.31800219998694956,
36,blink,24.630637499969453,0.2168884000275284,
37,forward_jump,25.097568199969828,3.3800024539232254e-05,1.0
38,blink,25.097513099899516,0.41233760002069175,
39,blink,25.71012319996953,0.3216677999589592,
40,forward_jump,26.29950669989921,5.570007488131523e-05,1.0
41,blink,26.299431799910963,0.4074745000107214,
42,blink,26.868435599957593,0.2826499999500811,
43,forward_jump,27.399474999983795,4.069996066391468e-05,1.0
44,blink,27.399411499965936,0.4077048000181094,
45,blink,27.94679889990948,0.1864946000277996,
46,forward_jump,28.384923599893227,4.840001929551363e-05,1.0
47,blink,28.384859299985692,0.41729899996425956,
48,blink,28.975620499928482,0.2772312000161037,
49,blink,29.567908599972725,0.33501109993085265,
50,backward_jump,30.235311099910177,5.9299985878169537e-05,-1.0
51,blink,30.235220999922603,0.3866070000221953,
52,backward_jump,30.72908009996172,4.0599959902465343e-05,-1.0
53,blink,30.72902329999488,0.37421099992934614,
54,blink,31.35399679990951,0.2658822999801487,
55,backward_jump,31.903195999911986,3.530003596097231e-05,-1.0
56,blink,31.90313199989032,0.3498241000343114,
57,backward_jump,32.39296459988691,6.10999995842576e-05,-1.0
58,blink,32.392888699891046,0.3526599000906572,
59,forward_jump,32.85067259997595,7.740000728517771e-05,1.0
60,blink,32.850590999936685,0.44177270005457103,
